Segment,Country,Product, Discount Band ,Units Sold,Manufacturing Price,Sale Price,XXXGross Sales,Discounts,XXXSales,COGS,XXXProfit,Date,Month Number,Month,Year,Sales,Profit,Gross Sales
Government,United States of America, Paseo , High ,2007, $10.00 , $350.00 ," $7,02,450.00 "," $1,05,367.50 "," $5,97,082.50 "," $5,21,820.00 "," $75,262.50 ",01-11-2013,11, November ,2013,$10678,$4678,$12678
Government,Mexico, Paseo , High ,2151, $10.00 , $350.00 ," $7,52,850.00 "," $1,12,927.50 "," $6,39,922.50 "," $5,59,260.00 "," $80,662.50 ",01-11-2013,11, November ,2013,$10679,$4679,$12679
Channel Partners,United States of America, Paseo , High ,914, $10.00 , $12.00 ," $10,968.00 "," $1,645.20 "," $9,322.80 "," $2,742.00 "," $6,580.80 ",01-12-2014,12, December ,2014,$10680,$4680,$12680
Government,France, Paseo , High ,293, $10.00 , $20.00 ," $5,860.00 ", $879.00 ," $4,981.00 "," $2,930.00 "," $2,051.00 ",01-12-2014,12, December ,2014,$10681,$4681,$12681
Channel Partners,Mexico, Velo , High ,500, $120.00 , $12.00 ," $6,000.00 ", $900.00 ," $5,100.00 "," $1,500.00 "," $3,600.00 ",01-03-2014,3, March ,2014,$10682,$4682,$12682
Midmarket,France, Velo , High ,2826, $120.00 , $15.00 ," $42,390.00 "," $6,358.50 "," $36,031.50 "," $28,260.00 "," $7,771.50 ",01-05-2014,5, May ,2014,$10683,$4683,$12683
Enterprise,France, Velo , High ,663, $120.00 , $125.00 ," $82,875.00 "," $12,431.25 "," $70,443.75 "," $79,560.00 "," $(9,116.25)",01-09-2014,9, September ,2014,$10684,$4684,$12684
Small Business,United States of America, Velo , High ,2574, $120.00 , $300.00 ," $7,72,200.00 "," $1,15,830.00 "," $6,56,370.00 "," $6,43,500.00 "," $12,870.00 ",01-11-2013,11, November ,2013,$10685,$4685,$12685
Enterprise,United States of America, Velo , High ,2438, $120.00 , $125.00 ," $3,04,750.00 "," $45,712.50 "," $2,59,037.50 "," $2,92,560.00 "," $(33,522.50)",01-12-2013,12, December ,2013,$10686,$4686,$12686
Channel Partners,United States of America, Velo , High ,914, $120.00 , $12.00 ," $10,968.00 "," $1,645.20 "," $9,322.80 "," $2,742.00 "," $6,580.80 ",01-12-2014,12, December ,2014,$10687,$4687,$12687
Government,Canada, VTT , High ,865.5, $250.00 , $20.00 ," $17,310.00 "," $2,596.50 "," $14,713.50 "," $8,655.00 "," $6,058.50 ",01-07-2014,7, July ,2014,$10688,$4688,$12688
Midmarket,Germany, VTT , High ,492, $250.00 , $15.00 ," $7,380.00 "," $1,107.00 "," $6,273.00 "," $4,920.00 "," $1,353.00 ",01-07-2014,7, July ,2014,$10689,$4689,$12689
Government,United States of America, VTT , High ,267, $250.00 , $20.00 ," $5,340.00 ", $801.00 ," $4,539.00 "," $2,670.00 "," $1,869.00 ",01-10-2013,10, October ,2013,$10690,$4690,$12690
Midmarket,Germany, VTT , High ,1175, $250.00 , $15.00 ," $17,625.00 "," $2,643.75 "," $14,981.25 "," $11,750.00 "," $3,231.25 ",01-10-2014,10, October ,2014,$10691,$4691,$12691
Enterprise,Canada, VTT , High ,2954, $250.00 , $125.00 ," $3,69,250.00 "," $55,387.50 "," $3,13,862.50 "," $3,54,480.00 "," $(40,617.50)",01-11-2013,11, November ,2013,$10692,$4692,$12692
Enterprise,Germany, VTT , High ,552, $250.00 , $125.00 ," $69,000.00 "," $10,350.00 "," $58,650.00 "," $66,240.00 "," $(7,590.00)",01-11-2014,11, November ,2014,$10693,$4693,$12693
Government,France, VTT , High ,293, $250.00 , $20.00 ," $5,860.00 ", $879.00 ," $4,981.00 "," $2,930.00 "," $2,051.00 ",01-12-2014,12, December ,2014,$10694,$4694,$12694
Small Business,France, Amarilla , High ,2475, $260.00 , $300.00 ," $7,42,500.00 "," $1,11,375.00 "," $6,31,125.00 "," $6,18,750.00 "," $12,375.00 ",01-03-2014,3, March ,2014,$10695,$4695,$12695
Small Business,Mexico, Amarilla , High ,546, $260.00 , $300.00 ," $1,63,800.00 "," $24,570.00 "," $1,39,230.00 "," $1,36,500.00 "," $2,730.00 ",01-10-2014,10, October ,2014,$10696,$4696,$12696
Government,Mexico, Montana , High ,1368, $5.00 , $7.00 ," $9,576.00 "," $1,436.40 "," $8,139.60 "," $6,840.00 "," $1,299.60 ",01-02-2014,2, February ,2014,$10697,$4697,$12697
Government,Canada, Paseo , High ,723, $10.00 , $7.00 ," $5,061.00 ", $759.15 ," $4,301.85 "," $3,615.00 ", $686.85 ,01-04-2014,4, April ,2014,$10698,$4698,$12698
Channel Partners,United States of America, VTT , High ,1806, $250.00 , $12.00 ," $21,672.00 "," $3,250.80 "," $18,421.20 "," $5,418.00 "," $13,003.20 ",01-05-2014,5, May ,2014,$10699,$4699,$12699
Government,Canada, Carretera , None ,1618.5, $3.00 , $20.00 ," $32,370.00 ", $-   ," $32,370.00 "," $16,185.00 "," $16,185.00 ",01-01-2014,1, January ,2013,$10700,$4700,$12700
Government,Germany, Carretera , None ,1321, $3.00 , $20.00 ," $26,420.00 ", $-   ," $26,420.00 "," $13,210.00 "," $13,210.00 ",01-01-2014,1, January ,2013,$10701,$4701,$12701
Midmarket,Mexico, Montana , None ,2470, $5.00 , $15.00 ," $37,050.00 ", $-   ," $37,050.00 "," $24,700.00 "," $12,350.00 ",01-06-2014,6, June ,2013,$10702,$4702,$12702
Enterprise,Canada, Montana , None ,2665.5, $5.00 , $125.00 ," $3,33,187.50 ", $-   ," $3,33,187.50 "," $3,19,860.00 "," $13,327.50 ",01-07-2014,7, July ,2013,$10703,$4703,$12703
Small Business,Mexico, Montana , None ,958, $5.00 , $300.00 ," $2,87,400.00 ", $-   ," $2,87,400.00 "," $2,39,500.00 "," $47,900.00 ",01-08-2014,8, August ,2013,$10704,$4704,$12704
Government,Canada, Paseo , None ,292, $10.00 , $20.00 ," $5,840.00 ", $-   ," $5,840.00 "," $2,920.00 "," $2,920.00 ",01-02-2014,2, February ,2013,$10705,$4705,$12705
Midmarket,Mexico, Paseo , None ,974, $10.00 , $15.00 ," $14,610.00 ", $-   ," $14,610.00 "," $9,740.00 "," $4,870.00 ",01-02-2014,2, February ,2013,$10706,$4706,$12706
Channel Partners,Canada, Paseo , None ,2518, $10.00 , $12.00 ," $30,216.00 ", $-   ," $30,216.00 "," $7,554.00 "," $22,662.00 ",01-06-2014,6, June ,2013,$10707,$4707,$12707
Government,Germany, Paseo , None ,1006, $10.00 , $350.00 ," $3,52,100.00 ", $-   ," $3,52,100.00 "," $2,61,560.00 "," $90,540.00 ",01-06-2014,6, June ,2013,$10708,$4708,$12708
Channel Partners,Germany, Paseo , None ,367, $10.00 , $12.00 ," $4,404.00 ", $-   ," $4,404.00 "," $1,101.00 "," $3,303.00 ",01-07-2014,7, July ,2013,$10709,$4709,$12709
Government,Mexico, Paseo , None ,883, $10.00 , $7.00 ," $6,181.00 ", $-   ," $6,181.00 "," $4,415.00 "," $1,766.00 ",01-08-2014,8, August ,2013,$10710,$4710,$12710
Government,Mexico, Velo , None ,1493, $120.00 , $7.00 ," $10,451.00 ", $-   ," $10,451.00 "," $7,465.00 "," $2,986.00 ",01-01-2014,1, January ,2013,$10711,$4711,$12711
Enterprise,France, Velo , None ,1804, $120.00 , $125.00 ," $2,25,500.00 ", $-   ," $2,25,500.00 "," $2,16,480.00 "," $9,020.00 ",01-02-2014,2, February ,2013,$10712,$4712,$12712
Channel Partners,Germany, Velo , None ,2161, $120.00 , $12.00 ," $25,932.00 ", $-   ," $25,932.00 "," $6,483.00 "," $19,449.00 ",01-03-2014,3, March ,2013,$10713,$4713,$12713
Government,Germany, Velo , None ,1006, $120.00 , $350.00 ," $3,52,100.00 ", $-   ," $3,52,100.00 "," $2,61,560.00 "," $90,540.00 ",01-06-2014,6, June ,2013,$10714,$4714,$12714
Government,France, Paseo , Low ,1030, $10.00 , $7.00 ," $7,210.00 ", $72.10 ," $7,137.90 "," $5,150.00 "," $1,987.90 ",01-05-2014,5, May ,2013,$10715,$4715,$12715
Government,Canada, VTT , Low ,1326, $250.00 , $7.00 ," $9,282.00 ", $92.82 ," $9,189.18 "," $6,630.00 "," $2,559.18 ",01-03-2014,3, March ,2013,$10716,$4716,$12716
Channel Partners,United States of America, Carretera , Low ,1858, $3.00 , $12.00 ," $22,296.00 ", $222.96 ," $22,073.04 "," $5,574.00 "," $16,499.04 ",01-02-2014,2, February ,2013,$10717,$4717,$12717
Government,Mexico, Carretera , Low ,1210, $3.00 , $350.00 ," $4,23,500.00 "," $4,235.00 "," $4,19,265.00 "," $3,14,600.00 "," $1,04,665.00 ",01-03-2014,3, March ,2013,$10718,$4718,$12718
Government,United States of America, Carretera , Low ,2529, $3.00 , $7.00 ," $17,703.00 ", $177.03 ," $17,525.97 "," $12,645.00 "," $4,880.97 ",01-07-2014,7, July ,2013,$10719,$4719,$12719
Midmarket,Mexico, Montana , Low ,2214, $5.00 , $15.00 ," $33,210.00 ", $332.10 ," $32,877.90 "," $22,140.00 "," $10,737.90 ",01-03-2014,3, March ,2013,$10720,$4720,$12720
Small Business,United States of America, Montana , Low ,2301, $5.00 , $300.00 ," $6,90,300.00 "," $6,903.00 "," $6,83,397.00 "," $5,75,250.00 "," $1,08,147.00 ",01-04-2014,4, April ,2013,$10721,$4721,$12721
Government,France, Montana , Low ,1375.5, $5.00 , $20.00 ," $27,510.00 ", $275.10 ," $27,234.90 "," $13,755.00 "," $13,479.90 ",01-07-2014,7, July ,2013,$10722,$4722,$12722
Government,Canada, Montana , Low ,1830, $5.00 , $7.00 ," $12,810.00 ", $128.10 ," $12,681.90 "," $9,150.00 "," $3,531.90 ",01-08-2014,8, August ,2013,$10723,$4723,$12723
Midmarket,United States of America, Paseo , Low ,1514, $10.00 , $15.00 ," $22,710.00 ", $227.10 ," $22,482.90 "," $15,140.00 "," $7,342.90 ",01-02-2014,2, February ,2013,$10724,$4724,$12724
Government,United States of America, Paseo , Low ,4492.5, $10.00 , $7.00 ," $31,447.50 ", $314.48 ," $31,133.03 "," $22,462.50 "," $8,670.53 ",01-04-2014,4, April ,2013,$10725,$4725,$12725
Enterprise,United States of America, Paseo , Low ,727, $10.00 , $125.00 ," $90,875.00 ", $908.75 ," $89,966.25 "," $87,240.00 "," $2,726.25 ",01-06-2014,6, June ,2013,$10726,$4726,$12726
Enterprise,France, Paseo , Low ,787, $10.00 , $125.00 ," $98,375.00 ", $983.75 ," $97,391.25 "," $94,440.00 "," $2,951.25 ",01-06-2014,6, June ,2013,$10727,$4727,$12727
Enterprise,Mexico, Paseo , Low ,1823, $10.00 , $125.00 ," $2,27,875.00 "," $2,278.75 "," $2,25,596.25 "," $2,18,760.00 "," $6,836.25 ",01-07-2014,7, July ,2013,$10728,$4728,$12728
Government,France, Velo , Low ,3864, $120.00 , $20.00 ," $77,280.00 ", $772.80 ," $76,507.20 "," $38,640.00 "," $37,867.20 ",01-04-2014,4, April ,2013,$10729,$4729,$12729
Government,Mexico, Velo , Low ,362, $120.00 , $7.00 ," $2,534.00 ", $25.34 ," $2,508.66 "," $1,810.00 ", $698.66 ,01-05-2014,5, May ,2013,$10730,$4730,$12730
Enterprise,Canada, Velo , Low ,923, $120.00 , $125.00 ," $1,15,375.00 "," $1,153.75 "," $1,14,221.25 "," $1,10,760.00 "," $3,461.25 ",01-08-2014,8, August ,2013,$10731,$4731,$12731
Government,Germany, VTT , Low ,263, $250.00 , $7.00 ," $1,841.00 ", $18.41 ," $1,822.59 "," $1,315.00 ", $507.59 ,01-03-2014,3, March ,2013,$10732,$4732,$12732
Government,Canada, VTT , Low ,943.5, $250.00 , $350.00 ," $3,30,225.00 "," $3,302.25 "," $3,26,922.75 "," $2,45,310.00 "," $81,612.75 ",01-04-2014,4, April ,2013,$10733,$4733,$12733
Enterprise,United States of America, VTT , Low ,727, $250.00 , $125.00 ," $90,875.00 ", $908.75 ," $89,966.25 "," $87,240.00 "," $2,726.25 ",01-06-2014,6, June ,2013,$10734,$4734,$12734
Enterprise,France, VTT , Low ,787, $250.00 , $125.00 ," $98,375.00 ", $983.75 ," $97,391.25 "," $94,440.00 "," $2,951.25 ",01-06-2014,6, June ,2013,$10735,$4735,$12735
Enterprise,Canada, Carretera , Low ,742.5, $3.00 , $125.00 ," $92,812.50 "," $1,856.25 "," $90,956.25 "," $89,100.00 "," $1,856.25 ",01-04-2014,4, April ,2013,$10736,$4736,$12736
Channel Partners,United States of America, Montana , Low ,1142, $5.00 , $12.00 ," $13,704.00 ", $274.08 ," $13,429.92 "," $3,426.00 "," $10,003.92 ",01-06-2014,6, June ,2013,$10737,$4737,$12737
Midmarket,Canada, Paseo , Low ,2363, $10.00 , $15.00 ," $35,445.00 ", $708.90 ," $34,736.10 "," $23,630.00 "," $11,106.10 ",01-02-2014,2, February ,2013,$10738,$4738,$12738
Small Business,France, Paseo , Low ,918, $10.00 , $300.00 ," $2,75,400.00 "," $5,508.00 "," $2,69,892.00 "," $2,29,500.00 "," $40,392.00 ",01-05-2014,5, May ,2013,$10739,$4739,$12739
Small Business,Germany, Paseo , Low ,1728, $10.00 , $300.00 ," $5,18,400.00 "," $10,368.00 "," $5,08,032.00 "," $4,32,000.00 "," $76,032.00 ",01-05-2014,5, May ,2013,$10740,$4740,$12740
Enterprise,Mexico, VTT , Low ,662, $250.00 , $125.00 ," $82,750.00 "," $1,655.00 "," $81,095.00 "," $79,440.00 "," $1,655.00 ",01-06-2014,6, June ,2013,$10743,$4743,$12743
Small Business,Germany, Amarilla , Low ,259, $260.00 , $300.00 ," $77,700.00 "," $1,554.00 "," $76,146.00 "," $64,750.00 "," $11,396.00 ",01-03-2014,3, March ,2013,$10744,$4744,$12744
Small Business,Mexico, Amarilla , Low ,1101, $260.00 , $300.00 ," $3,30,300.00 "," $6,606.00 "," $3,23,694.00 "," $2,75,250.00 "," $48,444.00 ",01-03-2014,3, March ,2013,$10745,$4745,$12745
Midmarket,Canada, Montana , Low ,1967, $5.00 , $15.00 ," $29,505.00 "," $1,180.20 "," $28,324.80 "," $19,670.00 "," $8,654.80 ",01-03-2014,3, March ,2013,$10746,$4746,$12746
Small Business,Germany, Montana , Low ,1859, $5.00 , $300.00 ," $5,57,700.00 "," $22,308.00 "," $5,35,392.00 "," $4,64,750.00 "," $70,642.00 ",01-08-2014,8, August ,2013,$10747,$4747,$12747
Government,Canada, Paseo , Low ,4251, $10.00 , $7.00 ," $29,757.00 "," $1,190.28 "," $28,566.72 "," $21,255.00 "," $7,311.72 ",01-01-2014,1, January ,2013,$10748,$4748,$12748
Enterprise,Germany, Paseo , Low ,795, $10.00 , $125.00 ," $99,375.00 "," $3,975.00 "," $95,400.00 "," $95,400.00 ", $-   ,01-03-2014,3, March ,2013,$10749,$4749,$12749
Small Business,Germany, Paseo , Low ,1414.5, $10.00 , $300.00 ," $4,24,350.00 "," $16,974.00 "," $4,07,376.00 "," $3,53,625.00 "," $53,751.00 ",01-04-2014,4, April ,2013,$10750,$4750,$12750
Small Business,United States of America, Paseo , Low ,2918, $10.00 , $300.00 ," $8,75,400.00 "," $35,016.00 "," $8,40,384.00 "," $7,29,500.00 "," $1,10,884.00 ",01-05-2014,5, May ,2013,$10751,$4751,$12751
Government,United States of America, Paseo , Low ,3450, $10.00 , $350.00 ," $12,07,500.00 "," $48,300.00 "," $11,59,200.00 "," $8,97,000.00 "," $2,62,200.00 ",01-07-2014,7, July ,2013,$10752,$4752,$12752
Enterprise,France, Paseo , Low ,2988, $10.00 , $125.00 ," $3,73,500.00 "," $14,940.00 "," $3,58,560.00 "," $3,58,560.00 ", $-   ,01-07-2014,7, July ,2013,$10753,$4753,$12753
Channel Partners,United States of America, Velo , Low ,1465, $120.00 , $12.00 ," $17,580.00 ", $703.20 ," $16,876.80 "," $4,395.00 "," $12,481.80 ",01-03-2014,3, March ,2013,$10754,$4754,$12754
Channel Partners,France, VTT , Low ,866, $250.00 , $12.00 ," $10,392.00 ", $415.68 ," $9,976.32 "," $2,598.00 "," $7,378.32 ",01-05-2014,5, May ,2013,$10755,$4755,$12755
Government,Mexico, Amarilla , Low ,1865, $260.00 , $350.00 ," $6,52,750.00 "," $26,110.00 "," $6,26,640.00 "," $4,84,900.00 "," $1,41,740.00 ",01-02-2014,2, February ,2013,$10756,$4756,$12756
Enterprise,Mexico, Amarilla , Low ,1074, $260.00 , $125.00 ," $1,34,250.00 "," $5,370.00 "," $1,28,880.00 "," $1,28,880.00 ", $-   ,01-04-2014,4, April ,2013,$10757,$4757,$12757
Government,Germany, Paseo , Medium ,1372, $10.00 , $7.00 ," $9,604.00 ", $480.20 ," $9,123.80 "," $6,860.00 "," $2,263.80 ",01-01-2014,1, January ,2013,$10758,$4758,$12758
Government,Mexico, Amarilla , Medium ,1683, $260.00 , $7.00 ," $11,781.00 ", $589.05 ," $11,191.95 "," $8,415.00 "," $2,776.95 ",01-07-2014,7, July ,2013,$10759,$4759,$12759
Channel Partners,Mexico, Amarilla , Medium ,1123, $260.00 , $12.00 ," $13,476.00 ", $673.80 ," $12,802.20 "," $3,369.00 "," $9,433.20 ",01-08-2014,8, August ,2013,$10760,$4760,$12760
Channel Partners,France, Carretera , Medium ,1865, $3.00 , $12.00 ," $22,380.00 "," $1,119.00 "," $21,261.00 "," $5,595.00 "," $15,666.00 ",01-02-2014,2, February ,2013,$10761,$4761,$12761
Channel Partners,Germany, Carretera , Medium ,1116, $3.00 , $12.00 ," $13,392.00 ", $669.60 ," $12,722.40 "," $3,348.00 "," $9,374.40 ",01-02-2014,2, February ,2013,$10762,$4762,$12762
Government,France, Carretera , Medium ,1563, $3.00 , $20.00 ," $31,260.00 "," $1,563.00 "," $29,697.00 "," $15,630.00 "," $14,067.00 ",01-05-2014,5, May ,2013,$10763,$4763,$12763
Small Business,United States of America, Carretera , Medium ,991, $3.00 , $300.00 ," $2,97,300.00 "," $14,865.00 "," $2,82,435.00 "," $2,47,750.00 "," $34,685.00 ",01-06-2014,6, June ,2013,$10764,$4764,$12764
Government,France, Montana , Medium ,1384.5, $5.00 , $350.00 ," $4,84,575.00 "," $24,228.75 "," $4,60,346.25 "," $3,59,970.00 "," $1,00,376.25 ",01-01-2014,1, January ,2013,$10765,$4765,$12765
Enterprise,United States of America, Montana , Medium ,3627, $5.00 , $125.00 ," $4,53,375.00 "," $22,668.75 "," $4,30,706.25 "," $4,35,240.00 "," $(4,533.75)",01-07-2014,7, July ,2013,$10766,$4766,$12766
Government,France, Paseo , Medium ,1303, $10.00 , $20.00 ," $26,060.00 "," $1,303.00 "," $24,757.00 "," $13,030.00 "," $11,727.00 ",01-02-2014,2, February ,2013,$10767,$4767,$12767
Enterprise,United States of America, Paseo , Medium ,2992, $10.00 , $125.00 ," $3,74,000.00 "," $18,700.00 "," $3,55,300.00 "," $3,59,040.00 "," $(3,740.00)",01-03-2014,3, March ,2013,$10768,$4768,$12768
Enterprise,France, Paseo , Medium ,2385, $10.00 , $125.00 ," $2,98,125.00 "," $14,906.25 "," $2,83,218.75 "," $2,86,200.00 "," $(2,981.25)",01-03-2014,3, March ,2013,$10769,$4769,$12769
Small Business,Mexico, Paseo , Medium ,1607, $10.00 , $300.00 ," $4,82,100.00 "," $24,105.00 "," $4,57,995.00 "," $4,01,750.00 "," $56,245.00 ",01-04-2014,4, April ,2013,$10770,$4770,$12770
Government,United States of America, Paseo , Medium ,2327, $10.00 , $7.00 ," $16,289.00 ", $814.45 ," $15,474.55 "," $11,635.00 "," $3,839.55 ",01-05-2014,5, May ,2013,$10771,$4771,$12771
Midmarket,United States of America, Velo , Medium ,555, $120.00 , $15.00 ," $8,325.00 ", $416.25 ," $7,908.75 "," $5,550.00 "," $2,358.75 ",01-01-2014,1, January ,2013,$10774,$4774,$12774
Midmarket,Mexico, Velo , Medium ,2861, $120.00 , $15.00 ," $42,915.00 "," $2,145.75 "," $40,769.25 "," $28,610.00 "," $12,159.25 ",01-01-2014,1, January ,2013,$10775,$4775,$12775
Enterprise,Germany, Velo , Medium ,807, $120.00 , $125.00 ," $1,00,875.00 "," $5,043.75 "," $95,831.25 "," $96,840.00 "," $(1,008.75)",01-02-2014,2, February ,2013,$10776,$4776,$12776
Government,United States of America, Velo , Medium ,602, $120.00 , $350.00 ," $2,10,700.00 "," $10,535.00 "," $2,00,165.00 "," $1,56,520.00 "," $43,645.00 ",01-06-2014,6, June ,2013,$10777,$4777,$12777
Government,United States of America, Velo , Medium ,2832, $120.00 , $20.00 ," $56,640.00 "," $2,832.00 "," $53,808.00 "," $28,320.00 "," $25,488.00 ",01-08-2014,8, August ,2013,$10778,$4778,$12778
Government,France, Velo , Medium ,1579, $120.00 , $20.00 ," $31,580.00 "," $1,579.00 "," $30,001.00 "," $15,790.00 "," $14,211.00 ",01-08-2014,8, August ,2013,$10779,$4779,$12779
Government,Germany, Amarilla , Medium ,1350, $260.00 , $350.00 ," $4,72,500.00 "," $23,625.00 "," $4,48,875.00 "," $3,51,000.00 "," $97,875.00 ",01-02-2014,2, February ,2013,$10780,$4780,$12780
Government,Canada, Amarilla , Medium ,552, $260.00 , $350.00 ," $1,93,200.00 "," $9,660.00 "," $1,83,540.00 "," $1,43,520.00 "," $40,020.00 ",01-08-2014,8, August ,2013,$10781,$4781,$12781
Midmarket,France, Paseo , Medium ,3801, $10.00 , $15.00 ," $57,015.00 "," $3,420.90 "," $53,594.10 "," $38,010.00 "," $15,584.10 ",01-04-2014,4, April ,2013,$10782,$4782,$12782
Government,United States of America, Carretera , Medium ,1117.5, $3.00 , $20.00 ," $22,350.00 "," $1,341.00 "," $21,009.00 "," $11,175.00 "," $9,834.00 ",01-01-2014,1, January ,2013,$10783,$4783,$12783
Midmarket,Canada, Carretera , Medium ,2844, $3.00 , $15.00 ," $42,660.00 "," $2,559.60 "," $40,100.40 "," $28,440.00 "," $11,660.40 ",01-06-2014,6, June ,2013,$10784,$4784,$12784
Government,Mexico, Montana , Medium ,980, $5.00 , $350.00 ," $3,43,000.00 "," $20,580.00 "," $3,22,420.00 "," $2,54,800.00 "," $67,620.00 ",01-04-2014,4, April ,2013,$10785,$4785,$12785
Government,Germany, Montana , Medium ,1460, $5.00 , $350.00 ," $5,11,000.00 "," $30,660.00 "," $4,80,340.00 "," $3,79,600.00 "," $1,00,740.00 ",01-05-2014,5, May ,2013,$10786,$4786,$12786
Enterprise,Canada, Velo , Medium ,952, $120.00 , $125.00 ," $1,19,000.00 "," $7,140.00 "," $1,11,860.00 "," $1,14,240.00 "," $(2,380.00)",01-02-2014,2, February ,2013,$10788,$4788,$12788
Enterprise,United States of America, Velo , Medium ,2755, $120.00 , $125.00 ," $3,44,375.00 "," $20,662.50 "," $3,23,712.50 "," $3,30,600.00 "," $(6,887.50)",01-02-2014,2, February ,2013,$10789,$4789,$12789
Midmarket,Germany, Velo , Medium ,1530, $120.00 , $15.00 ," $22,950.00 "," $1,377.00 "," $21,573.00 "," $15,300.00 "," $6,273.00 ",01-05-2014,5, May ,2013,$10790,$4790,$12790
Government,France, Velo , Medium ,1496, $120.00 , $350.00 ," $5,23,600.00 "," $31,416.00 "," $4,92,184.00 "," $3,88,960.00 "," $1,03,224.00 ",01-06-2014,6, June ,2013,$10791,$4791,$12791
Government,Mexico, Velo , Medium ,1498, $120.00 , $7.00 ," $10,486.00 ", $629.16 ," $9,856.84 "," $7,490.00 "," $2,366.84 ",01-06-2014,6, June ,2013,$10792,$4792,$12792
Midmarket,Canada, VTT , Medium ,2844, $250.00 , $15.00 ," $42,660.00 "," $2,559.60 "," $40,100.40 "," $28,440.00 "," $11,660.40 ",01-06-2014,6, June ,2013,$10793,$4793,$12793
Government,Mexico, VTT , Medium ,1498, $250.00 , $7.00 ," $10,486.00 ", $629.16 ," $9,856.84 "," $7,490.00 "," $2,366.84 ",01-06-2014,6, June ,2013,$10794,$4794,$12794
Enterprise,France, Amarilla , Medium ,1987.5, $260.00 , $125.00 ," $2,48,437.50 "," $14,906.25 "," $2,33,531.25 "," $2,38,500.00 "," $(4,968.75)",01-01-2014,1, January ,2013,$10795,$4795,$12795
Midmarket,United States of America, Paseo , Medium ,2198, $10.00 , $15.00 ," $32,970.00 "," $1,978.20 "," $30,991.80 "," $21,980.00 "," $9,011.80 ",01-08-2014,8, August ,2013,$10796,$4796,$12796
Midmarket,Germany, Paseo , Medium ,1743, $10.00 , $15.00 ," $26,145.00 "," $1,568.70 "," $24,576.30 "," $17,430.00 "," $7,146.30 ",01-08-2014,8, August ,2013,$10797,$4797,$12797
Government,Germany, Velo , Medium ,1001, $120.00 , $20.00 ," $20,020.00 "," $1,201.20 "," $18,818.80 "," $10,010.00 "," $8,808.80 ",01-08-2014,8, August ,2013,$10798,$4798,$12798
Channel Partners,Mexico, Carretera , Medium ,727, $3.00 , $12.00 ," $8,724.00 ", $610.68 ," $8,113.32 "," $2,181.00 "," $5,932.32 ",01-02-2014,2, February ,2013,$10799,$4799,$12799
Channel Partners,Canada, Carretera , Medium ,1884, $3.00 , $12.00 ," $22,608.00 "," $1,582.56 "," $21,025.44 "," $5,652.00 "," $15,373.44 ",01-08-2014,8, August ,2013,$10800,$4800,$12800
Channel Partners,Mexico, Montana , Medium ,2340, $5.00 , $12.00 ," $28,080.00 "," $1,965.60 "," $26,114.40 "," $7,020.00 "," $19,094.40 ",01-01-2014,1, January ,2013,$10801,$4801,$12801
Midmarket,Canada, Velo , Medium ,1262, $120.00 , $15.00 ," $18,930.00 "," $1,325.10 "," $17,604.90 "," $12,620.00 "," $4,984.90 ",01-05-2014,5, May ,2013,$10802,$4802,$12802
Government,Canada, Velo , Medium ,1135, $120.00 , $7.00 ," $7,945.00 ", $556.15 ," $7,388.85 "," $5,675.00 "," $1,713.85 ",01-06-2014,6, June ,2013,$10803,$4803,$12803
Channel Partners,France, VTT , Medium ,1738.5, $250.00 , $12.00 ," $20,862.00 "," $1,460.34 "," $19,401.66 "," $5,215.50 "," $14,186.16 ",01-04-2014,4, April ,2013,$10804,$4804,$12804
Government,Canada, Amarilla , Medium ,1135, $260.00 , $7.00 ," $7,945.00 ", $556.15 ," $7,388.85 "," $5,675.00 "," $1,713.85 ",01-06-2014,6, June ,2013,$10805,$4805,$12805
Government,United States of America, Carretera , Medium ,1761, $3.00 , $350.00 ," $6,16,350.00 "," $43,144.50 "," $5,73,205.50 "," $4,57,860.00 "," $1,15,345.50 ",01-03-2014,3, March ,2013,$10806,$4806,$12806
Small Business,France, Carretera , Medium ,448, $3.00 , $300.00 ," $1,34,400.00 "," $9,408.00 "," $1,24,992.00 "," $1,12,000.00 "," $12,992.00 ",01-06-2014,6, June ,2013,$10807,$4807,$12807
Small Business,Canada, Paseo , Medium ,1702, $10.00 , $300.00 ," $5,10,600.00 "," $35,742.00 "," $4,74,858.00 "," $4,25,500.00 "," $49,358.00 ",01-05-2014,5, May ,2013,$10808,$4808,$12808
Enterprise,Germany, Paseo , Medium ,3513, $10.00 , $125.00 ," $4,39,125.00 "," $30,738.75 "," $4,08,386.25 "," $4,21,560.00 "," $(13,173.75)",01-07-2014,7, July ,2013,$10810,$4810,$12810
Midmarket,France, Paseo , Medium ,2101, $10.00 , $15.00 ," $31,515.00 "," $2,206.05 "," $29,308.95 "," $21,010.00 "," $8,298.95 ",01-08-2014,8, August ,2013,$10811,$4811,$12811
Small Business,France, Velo , Medium ,1659, $120.00 , $300.00 ," $4,97,700.00 "," $34,839.00 "," $4,62,861.00 "," $4,14,750.00 "," $48,111.00 ",01-07-2014,7, July ,2013,$10812,$4812,$12812
Government,Mexico, Velo , Medium ,609, $120.00 , $20.00 ," $12,180.00 ", $852.60 ," $11,327.40 "," $6,090.00 "," $5,237.40 ",01-08-2014,8, August ,2013,$10813,$4813,$12813
